value,ano,hectares
0,hectare_ti85,72514181
0,hectare_ti23,72517949
3,hectare_ti85,7762571
3,hectare_ti23,7720931
4,hectare_ti85,6659
4,hectare_ti23,4977
6,hectare_ti85,235700
6,hectare_ti23,226526
11,hectare_ti85,213911
11,hectare_ti23,202764
12,hectare_ti85,1908208
12,hectare_ti23,1932692
15,hectare_ti85,11008
15,hectare_ti23,58203
24,hectare_ti85,156
24,hectare_ti23,1081
25,hectare_ti85,36
25,hectare_ti23,65
29,hectare_ti85,104205
29,hectare_ti23,104076
30,hectare_ti85,13
30,hectare_ti23,3198
33,hectare_ti85,61795
33,hectare_ti23,31621
41,hectare_ti85,966
41,hectare_ti23,14697
9,hectare_ti85,0
9,hectare_ti23,18
35,hectare_ti85,0
35,hectare_ti23,24
39,hectare_ti85,0
39,hectare_ti23,3933
